"order_id","dish_name","quantity","price","total_price","order_date"
"1001","SPINACH TRIFOLATE","1","775.00","775.00","2024-09-01"
"1001","CAESAR","1","445.00","445.00","2024-09-01"
"1001","MISTA","1","365.00","365.00","2024-09-01"
"1002","GAMBERI ALLA GRIGLIA","2","625.00","1250.00","2024-09-02"
"1002","CAPRESE","1","475.00","475.00","2024-09-02"
"1002","RAVIOLI VERDE","1","725.00","725.00","2024-09-02"
"1003","FUNGHI RIPIENI","1","675.00","675.00","2024-09-03"
"1003","FUNGHI","2","415.00","830.00","2024-09-03"
"1003","VONGOLE","1","395.00","395.00","2024-09-03"
"1004","MARGHERITA","1","595.00","595.00","2024-09-04"
"1004","PEPPERONI","1","595.00","595.00","2024-09-04"
"1004","CARBONARA","1","695.00","695.00","2024-09-04"
"1005","AL TONO","1","345.00","345.00","2024-09-05"
"1005","MINESTRONE DI VERDURE","1","355.00","355.00","2024-09-05"
"1005","CAPESANTE","2","825.00","1650.00","2024-09-05"
"1006","PROSCIUTTO DI PARMA CON MANGO","1","695.00","695.00","2024-09-06"
"1006","SICILIAN","1","765.00","765.00","2024-09-06"
"1006","VONGOLE AL VINO BIANCO","1","695.00","695.00","2024-09-06"
"1007","FILETTO MUGNAIA","1","795.00","795.00","2024-09-07"
"1007","PETTO ASPARAGI","2","925.00","1850.00","2024-09-07"
"1007","BRAZO DE MERCEDEZ - SLICE","1","225.00","225.00","2024-09-07"
"1008","PROFUMO DI TARTUFO","2","845.00","1690.00","2024-09-08"
"1008","RUSTICA","1","465.00","465.00","2024-09-08"
"1008","SAN PELLEGRINO","2","250.00","500.00","2024-09-08"
"1009","FUNGHI RIPIENI","2","675.00","1350.00","2024-09-09"
"1009","SPINACH TRIFOLATE","1","775.00","775.00","2024-09-09"
"1009","CAFFÉ","3","165.00","495.00","2024-09-09"
"1010","ANGULAS","1","725.00","725.00","2024-09-10"
"1010","MARGHERITA","1","595.00","595.00","2024-09-10"
"1010","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-09-10"
"1010","TIRAMISU","2","350.00","700.00","2024-09-10"
"1010","CAPPUCCINO","1","185.00","185.00","2024-09-10"
"1011","BRUSCHETTA","2","295.00","590.00","2024-09-11"
"1011","MARGHERITA","1","595.00","595.00","2024-09-11"
"1011","CAFFÉ","1","165.00","165.00","2024-09-11"
"1012","CARBONARA","1","695.00","695.00","2024-09-12"
"1012","VONGOLE","1","395.00","395.00","2024-09-12"
"1013","PEPPERONI","3","595.00","1785.00","2024-09-12"
"1013","SAN PELLEGRINO","2","250.00","500.00","2024-09-12"
"1013","TIRAMISU","1","350.00","350.00","2024-09-12"
"1014","PROFUMO DI TARTUFO","1","845.00","845.00","2024-09-13"
"1014","CAPRESE","1","475.00","475.00","2024-09-13"
"1014","CAFFÉ","1","165.00","165.00","2024-09-13"
"1015","MISTA","2","365.00","730.00","2024-09-14"
"1015","SPINACH TRIFOLATE","1","775.00","775.00","2024-09-14"
"1016","FILETTO MUGNAIA","2","795.00","1590.00","2024-09-14"
"1016","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-09-14"
"1016","CAPPUCCINO","3","185.00","555.00","2024-09-14"
"1017","GAMBERI ALLA GRIGLIA","1","625.00","625.00","2024-09-15"
"1017","MARGHERITA","2","595.00","1190.00","2024-09-15"
"1017","CAESAR","1","445.00","445.00","2024-09-15"
"1018","VONGOLE AL VINO BIANCO","1","695.00","695.00","2024-09-16"
"1018","SAN PELLEGRINO","1","250.00","250.00","2024-09-16"
"1019","AL TONO","1","345.00","345.00","2024-09-16"
"1019","MARGHERITA","1","595.00","595.00","2024-09-16"
"1019","MINESTRONE DI VERDURE","1","355.00","355.00","2024-09-16"
"1020","FUNGHI RIPIENI","2","675.00","1350.00","2024-09-17"
"1020","PETTO ASPARAGI","1","925.00","925.00","2024-09-17"
"1020","BRAZO DE MERCEDEZ - SLICE","1","225.00","225.00","2024-09-17"
"1021","RUSTICA","1","465.00","465.00","2024-09-18"
"1021","CAFFÉ","1","165.00","165.00","2024-09-18"
"1022","PROSCIUTTO DI PARMA CON MANGO","2","695.00","1390.00","2024-09-19"
"1022","PEPPERONI","2","595.00","1190.00","2024-09-19"
"1022","TIRAMISU","2","350.00","700.00","2024-09-19"
"1023","CAPESANTE","1","825.00","825.00","2024-09-20"
"1023","SPINACH TRIFOLATE","1","775.00","775.00","2024-09-20"
"1024","ANGULAS","1","725.00","725.00","2024-09-21"
"1024","CAPRESE","1","475.00","475.00","2024-09-21"
"1025","SICILIAN","1","765.00","765.00","2024-09-22"
"1025","GAMBERI ALLA GRIGLIA","1","625.00","625.00","2024-09-22"
"1026","FUNGHI","2","415.00","830.00","2024-09-23"
"1026","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-09-23"
"1027","MISTA","1","365.00","365.00","2024-09-24"
"1027","PETTO ASPARAGI","1","925.00","925.00","2024-09-24"
"1028","FUNGHI RIPIENI","1","675.00","675.00","2024-09-25"
"1028","MARGHERITA","1","595.00","595.00","2024-09-25"
"1029","TIRAMISU","1","350.00","350.00","2024-09-26"
"1029","SPINACH TRIFOLATE","1","775.00","775.00","2024-09-26"
"1030","BRUSCHETTA","1","295.00","295.00","2024-09-27"
"1031","MARGHERITA","1","595.00","595.00","2024-09-27"
"1031","TIRAMISU","1","350.00","350.00","2024-09-27"
"1032","CAPRESE","1","475.00","475.00","2024-09-28"
"1033","FUNGHI","2","415.00","830.00","2024-09-28"
"1033","CAFFÉ","1","165.00","165.00","2024-09-28"
"1034","CARBONARA","1","695.00","695.00","2024-09-29"
"1035","FUNGHI RIPIENI","1","675.00","675.00","2024-09-29"
"1035","MINESTRONE DI VERDURE","1","355.00","355.00","2024-09-29"
"1035","TIRAMISU","1","350.00","350.00","2024-09-29"
"1036","VONGOLE","1","395.00","395.00","2024-09-30"
"1036","SAN PELLEGRINO","1","250.00","250.00","2024-09-30"
"1037","PEPPERONI","1","595.00","595.00","2024-09-30"
"1037","CAPPUCCINO","1","185.00","185.00","2024-09-30"
"1038","GAMBERI ALLA GRIGLIA","1","625.00","625.00","2024-10-01"
"1038","SPINACH TRIFOLATE","1","775.00","775.00","2024-10-01"
"1039","MARGHERITA","2","595.00","1190.00","2024-10-01"
"1040","VONGOLE AL VINO BIANCO","1","695.00","695.00","2024-10-02"
"1040","RUSTICA","1","465.00","465.00","2024-10-02"
"1041","PROSCIUTTO DI PARMA CON MANGO","2","695.00","1390.00","2024-10-03"
"1041","TIRAMISU","2","350.00","700.00","2024-10-03"
"1042","AL TONO","1","345.00","345.00","2024-10-03"
"1043","PROFUMO DI TARTUFO","1","845.00","845.00","2024-10-04"
"1043","CAESAR","1","445.00","445.00","2024-10-04"
"1044","FILETTO MUGNAIA","1","795.00","795.00","2024-10-04"
"1044","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-10-04"
"1045","FUNGHI","1","415.00","415.00","2024-10-05"
"1045","CAPPUCCINO","1","185.00","185.00","2024-10-05"
"1045","BRAZO DE MERCEDEZ - SLICE","1","225.00","225.00","2024-10-05"
"1046","GAMBERI ALLA GRIGLIA","2","625.00","1250.00","2024-10-06"
"1046","PEPPERONI","1","595.00","595.00","2024-10-06"
"1046","CAFFÉ","2","165.00","330.00","2024-10-06"
"1047","ANGULAS","1","725.00","725.00","2024-10-07"
"1047","SICILIAN","1","765.00","765.00","2024-10-07"
"1048","MARGHERITA","1","595.00","595.00","2024-10-08"
"1049","PETTO ASPARAGI","1","925.00","925.00","2024-10-08"
"1049","CAPESANTE","1","825.00","825.00","2024-10-08"
"1050","SPINACH TRIFOLATE","1","775.00","775.00","2024-10-09"
"1050","RAVIOLI VERDE","1","725.00","725.00","2024-10-09"
"1051","FUNGHI RIPIENI","2","675.00","1350.00","2024-10-09"
"1052","AL TONO","1","345.00","345.00","2024-10-10"
"1052","SAN PELLEGRINO","2","250.00","500.00","2024-10-10"
"1053","CARBONARA","1","695.00","695.00","2024-10-11"
"1053","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-10-11"
"1054","CAESAR","1","445.00","445.00","2024-10-12"
"1054","TIRAMISU","1","350.00","350.00","2024-10-12"
"1054","VONGOLE","1","395.00","395.00","2024-10-12"
